,param_min_samples_split,param_n_estimators,mean_test_cohen_kappa,rank_test_cohen_kappa,mean_test_rec,rank_test_rec,mean_test_prec,rank_test_prec,rank_sum
6,2,77,0.21032947876250868,2,0.17511379256482348,6,0.44951794430505243,32,40
1,2,17,0.21063906275551716,1,0.1831133434864105,2,0.4230331961941095,41,44
5,2,65,0.20886364936456098,3,0.17442633161512028,7,0.4460091484599403,35,45
3,2,41,0.20799252732722429,5,0.17567646829115902,5,0.43780214161181774,38,48
7,2,89,0.2085003951239579,4,0.17405154639175255,8,0.44581997443371807,36,48
10,2,125,0.20731297949198169,6,0.17167662449234614,12,0.4500504796260829,31,49
8,2,101,0.2071892951061664,7,0.17217652686660417,10,0.44772178217165903,34,51
9,2,113,0.20710088909630747,8,0.1718643783192752,11,0.44838625471423976,33,52
2,2,29,0.20571535678910546,10,0.17617639019056547,4,0.42701155533889956,40,54
17,4,77,0.1971604900640554,14,0.15286519837550766,19,0.49064274582341855,21,54
4,2,53,0.20625278992852097,9,0.1736140073414558,9,0.4382647790171278,37,55
12,4,17,0.1981555959034252,12,0.16036500312402374,14,0.45686773053605945,30,56
0,2,5,0.20083369740170615,11,0.19761252343017807,1,0.35719418885681564,44,56
15,4,53,0.19638446197768816,15,0.15286537410184317,18,0.4862803411117932,25,58
20,4,113,0.19545524418296217,18,0.15086535457669478,21,0.4926928538343057,20,59
11,4,5,0.19727602548922335,13,0.17905135114026866,3,0.3879463628549637,43,59
13,4,29,0.19618057879279197,16,0.15517736644798502,15,0.4726763266879991,29,60
16,4,65,0.19614263548807906,17,0.1529275812246173,17,0.484532411844388,27,61
14,4,41,0.19483626799678944,19,0.15324025695095284,16,0.4756330683961238,28,63
19,4,101,0.194696442075626,20,0.15067789362699158,22,0.48962813526484605,22,64
28,6,77,0.18249127068575738,26,0.13405400656044988,27,0.5273419139893736,11,64
31,6,113,0.18018176000442848,28,0.13192900656044987,30,0.5282045487863226,9,67
21,4,125,0.19349336004881384,21,0.15011541315213997,23,0.48592285968464155,26,70
18,4,89,0.19312470874829782,22,0.14936547172758513,24,0.48813429514750606,24,70
23,6,17,0.18464780068276904,24,0.1413030498281787,25,0.48849086245569795,23,72
24,6,29,0.18152881641188415,27,0.13617883083411436,26,0.5036483966971799,19,72
30,6,101,0.17899175227023506,29,0.1313666432364886,31,0.5236574106102454,12,72
26,6,53,0.17898975468828954,30,0.13242883083411433,29,0.5147323279525795,16,75
25,6,41,0.1789529394817339,31,0.1333666822867854,28,0.506941666585039,18,77
27,6,65,0.17823922967001732,32,0.13124174086223056,32,0.5192187107953378,14,78
22,6,5,0.18939261745430072,23,0.16267734692283659,13,0.40930000263148186,42,78
38,8,65,0.16666234457231224,38,0.11867974851608873,38,0.5435948637265622,5,81
29,6,89,0.17659563337634432,33,0.12986660418619184,33,0.5185023064539108,15,81
32,6,125,0.17505195691465664,34,0.1279918580131209,34,0.5227362189308332,13,81
36,8,41,0.16667684093083346,37,0.11942978756638552,37,0.5357472248948277,8,82
43,8,125,0.1646164041526758,40,0.11630515854420494,41,0.5514007376793099,1,82
35,8,29,0.16932657583427738,36,0.12249217041549516,36,0.5278215384037906,10,82
33,8,5,0.1836505649308598,25,0.15117810840362386,20,0.4296789841567411,39,84
37,8,53,0.16484733926096468,39,0.1178675413933146,39,0.5361497397393733,7,85
34,8,17,0.17051946516429975,35,0.12517933848797252,35,0.5123416980008006,17,87
39,8,77,0.16404765853571726,41,0.11699222899094033,40,0.5389020817338767,6,87
41,8,101,0.1638946904668479,42,0.11611746329272103,42,0.5463617966640933,3,87
42,8,113,0.16361556728538118,43,0.11574263901905654,44,0.5484006612819178,2,89
40,8,89,0.16327155598947937,44,0.11586730709153388,43,0.5436761259312005,4,91
